ID,OBJECT,OBJTYPE,RA,DEC,EQ-ORIG,DATE-OBS,EXPTIME,TMS-LST,TME-LST,TMS-LT,TME-LT,SIZE,TELESCOPE,OBSERVER,TEMPERAT,SKYCOND,OBSNOTE,DETNAME,EMULSION,METHOD,FOCUS,NOTES,SCANNOTE,FILTER,PLATNOTE,SKYCOND_en,OBSNOTE_en,NOTES_en,SCANNOTE_en,PLATNOTE_en
1-134,Arend-Rigaux,comets,7h53m,32.15,,2-3.03.1951,8.7m;9m,12h16.3;12h54m,12h25.0;13h03,,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-7," прозрачность плохая,  туман",,photographic plate,Astro platten,метод Меткофа,0.56,,,,,"transparency is poor, fog",,,,
1-136,Arend-Rigaux,comets,7h53m,31.48,,2-3.03.1951,11m,13h48m,13h59m,,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-7," прозрачность плохая,  туман",,photographic plate,Astro platten,метод Меткофа,0.56,,,,,"transparency is poor, fog",,,,
1-140,Arend-Rigaux,comets,7h58m,32.15,,4-5.03.1951,16m,9h52m,10h08m,,,9.7*9.7,50cm менисковый телескоп Максутова,"Рожковский Д.А., Торопова Т.П.",-8,,,photographic plate,Astro platten,,0.55,,,,,,,,,
1-156,Arend-Rigaux,comets,8h26m,33.48,,24-25.03.1951,5m;5m;5m,8h32;8h47;8h57,8h37;8h52;9h02,,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-2,,,photographic plate,Astro uns,,0.5,,,,,,,,,
1-171,Arend-Rigaux,comets,8h40.8m,32.57,,30-31.03.1951,8m;8m,9h42;10h24,10h00;10h42,,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,,,,photographic plate,Astro uns,,0.625,,,,,,,,,
1-167,Arend-Rigaux,comets,8h37m,32.48,,28-29.03.1951,7m;7m,11h16m;11h24.5,11h23m;11h31.5,,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,,,,photographic plate,Astro uns,,0.59,,,,,,,,,
1-173,Arend-Rigaux,comets,8h40m,32.57,,31.03-1.04.1951,18m;18m,9h15m;9h53m,9h33m;10h11m,,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,1.5,,,,,,0.58,,,,,,,,,
1-179,Arend-Rigaux,comets,8h49m,32.42,,5-6.04.1951,5.4m;5.4m,9h38.6;10h03.6,9h44.0;10h09.0,,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,5,,,photographic plate,Panchrom,,,,,,,,,,,
1-180,Arend-Rigaux,comets,8h49m,32.42,,5-6.04.1951,5.4m;5.4m,10h50.6;11h15.6,10h56.0;11h21.0,,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,5,,,photographic plate,Panchrom,,,,,,,,,,,
1-186,Arend-Rigaux,comets,9h27m,29.0,,25-26.04.1951,30m,11h44m,12h14m,,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,,,,photographic plate,Astro uns,,0.58,,,,,,,,,
1-188,Arend-Rigaux,comets,9h30m,30.48,,26-27.04.1951,28m,11h24m,11h52m,,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,11,,,photographic plate,Astro uns,,0.58,,,,,,,,,
1-189,Arend-Rigaux,comets,9h36m,30.15,,26-27.04.1951,15m,13h28m,13h43m,,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,11,,,photographic plate,Astro uns,,0.58,,,,недопроявлена,,,,,undermanifested
1-133,Arend-Rigo-Dubyago,comets,7h48m,30.42,,28.02-01.03.1951,9m;9m,9h33m;10h03m,9h42m;10h12m,,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-10,,,photographic plate,Astro platten,метод Меткофа,0.55,,,,,,,,,
1-143,Arenda,comets,8h06m,32.21,,10-11.03.1951,7m;7m,9h28m;10h07m,9h35m;10h14m,,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-3, легкий туман,комета не найдена,photographic plate,Astro uns,,0.59,,,,,light fog,comet is not found,,,
1-359,Arenda,comets,,,,24-25.11.1951,10m,23h52m,00h02m,,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,1.5,,,,,,0.62,,,,,,,,,
1-363,Arenda,comets,,,,25-26.11.1951,10m,00h09m20s,00h19m20s,,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,2,,,photographic plate,,,,,,,скол края фотопластинки,,,,,chip edge of the photographic plate
1-155,Paiduskova comet ,comets,4h01m.5,54.51,,25-26.03.1951,5m;5m,8h04m;8h12m,8h09m;8h17m,,,9.7*9.7,50cm менисковый телескоп Максутова,Рожковский Д.А.,-2,,,photographic plate,Astro uns,,0.5,,,,,,,,,
1-159,Paiduskova comet ,comets,4h22m.4,53.39,,26-27.03.1951,30m,8h40m,9h10m,,,9.7*9.7,50cm менисковый телескоп Максутова,Торопова Т.П.,0,,,,,,0.54,снимкок имеет стандарт с номером 9-160-st,,,,,,Frames has a standard number of 9-160-st,,
1-165,Paiduskova comet ,comets,4h36m.2,52.27,,28-29.03.1951,30m,8h30m,9h00m,,,9.7*9.7,50cm менисковый телескоп Максутова,Торопова Т.П.,,,,photographic plate,Astro uns,,0.59,,,,,,,,,
